code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,all_activity_sumclick,after_clicks_sum,before_clicks_sum,forumng_clicks_sum,homepage_clicks_sum,oucontent_clicks_sum,subpage_clicks_sum,url_clicks_sum,resource_clicks_sum,glossary_clicks_sum,dataplus_clicks_sum,oucollaborate_clicks_sum,quiz_clicks_sum,ouelluminate_clicks_sum,sharedsubpage_clicks_sum,questionnaire_clicks_sum,page_clicks_sum,externalquiz_clicks_sum,ouwiki_clicks_sum,dualpane_clicks_sum,repeatactivity_clicks_sum,folder_clicks_sum,htmlactivity_clicks_sum,date_registration,module_presentation_length,CMA_sumScore,TMA_sumScore,Exam_sumScore
0,1,1,9,0,3,1,0,60,0,Pass,2992,2534,458,756,602,1349,176,55,42,0,12,0,0,0,0,0,0,0,0,0,0,0,0,107,268,0,330,0
0,1,1,1,0,3,0,0,60,0,Pass,680,613,67,77,248,252,68,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,268,0,352,0
0,1,1,5,1,0,0,0,60,0,Pass,1494,1418,76,5,424,893,116,39,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,31,268,0,354,0
0,1,1,8,0,7,1,0,60,0,Withdrawn,339,257,82,12,70,183,57,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,268,0,74,0
0,1,1,10,0,7,1,0,60,0,Pass,2839,2362,477,33,486,2069,189,18,33,0,11,0,0,0,0,0,0,0,0,0,0,0,0,107,268,0,303,0
0,1,1,12,0,2,0,0,60,0,Pass,744,717,27,255,161,228,67,22,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,62,268,0,342,0
0,1,1,8,0,8,1,0,60,0,Pass,4104,3802,302,642,695,2298,269,163,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,103,268,0,363,0
0,1,1,5,0,3,0,0,60,0,Pass,1944,1817,127,414,563,864,83,1,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,107,268,0,390,0
0,1,1,3,1,6,0,0,60,0,Pass,1150,1119,31,217,172,607,102,25,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,100,268,0,383,0
0,1,1,2,1,2,1,0,60,0,Pass,4777,4233,544,353,813,3122,286,139,49,0,10,5,0,0,0,0,0,0,0,0,0,0,0,109,268,0,398,0
0,1,1,8,1,8,1,0,60,0,Withdrawn,465,465,0,59,117,230,39,3,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,268,0,180,0
0,1,1,1,0,2,0,0,60,0,Pass,733,584,149,91,183,389,55,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,268,0,267,0
0,1,1,0,1,8,1,0,60,0,Pass,998,960,38,30,212,499,152,53,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,268,0,317,0
0,1,0,0,1,9,1,0,60,0,Pass,2343,2091,252,259,489,1341,160,59,18,1,14,2,0,0,0,0,0,0,0,0,0,0,0,43,268,0,243,0
0,1,1,12,0,6,1,0,60,0,Pass,3553,3550,3,802,979,1383,221,116,32,0,16,4,0,0,0,0,0,0,0,0,0,0,0,26,268,0,388,0
0,1,0,4,1,2,1,0,60,0,Pass,757,729,28,5,174,344,157,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,268,0,359,0
0,1,1,12,1,6,1,0,60,0,Pass,1358,1216,142,129,241,852,65,32,27,0,10,2,0,0,0,0,0,0,0,0,0,0,0,68,268,0,364,0
0,1,1,10,1,0,0,0,60,0,Pass,1886,1886,0,72,420,1149,131,107,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,68,268,0,312,0
0,1,1,0,0,7,1,0,60,0,Pass,1108,783,325,18,315,606,112,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,268,0,371,0
0,1,1,1,1,3,0,0,120,0,Pass,284,276,8,9,62,151,43,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,268,0,309,0
0,1,1,8,0,4,1,0,60,0,Pass,2041,2038,3,390,486,857,199,95,9,0,3,2,0,0,0,0,0,0,0,0,0,0,0,82,268,0,357,0
0,1,0,1,0,4,0,0,180,0,Pass,1321,1289,32,198,324,666,90,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,268,0,348,0
0,1,1,11,0,5,0,0,60,0,Withdrawn,1011,979,32,30,301,606,43,20,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,197,268,0,243,0
0,1,0,0,0,8,1,0,120,0,Pass,520,476,44,51,95,308,50,2,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,75,268,0,337,0
0,1,0,7,0,9,1,0,60,0,Distinction,2732,2558,174,18,504,2078,72,4,28,0,24,4,0,0,0,0,0,0,0,0,0,0,0,96,268,0,422,0
0,1,0,0,0,2,0,0,180,0,Withdrawn,57,55,2,0,21,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,268,0,0,0
0,1,0,7,0,9,1,0,60,1,Withdrawn,287,287,0,21,61,149,41,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,268,0,123,0
0,1,1,9,0,4,1,0,60,0,Pass,5528,5287,241,2676,1042,1516,197,64,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,195,268,0,401,0
0,1,0,1,0,3,0,0,240,0,Pass,1823,1775,48,894,263,521,89,30,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,61,268,0,363,0
0,1,1,9,0,9,0,0,345,0,Withdrawn,143,143,0,25,33,51,27,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,110,268,0,45,0
0,1,0,4,0,5,1,0,60,0,Pass,2121,1979,142,379,502,934,170,104,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,37,268,0,368,0
0,1,0,8,1,8,1,0,60,0,Pass,5645,5490,155,2092,1057,2005,296,137,53,1,2,2,0,0,0,0,0,0,0,0,0,0,0,67,268,0,344,0
0,1,1,9,1,6,0,0,120,0,Pass,452,414,38,49,94,270,29,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,268,0,272,0
0,1,0,11,0,2,0,0,60,1,Fail,597,547,50,72,142,314,49,5,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,132,268,0,250,0
0,1,1,4,0,6,0,0,120,0,Fail,611,522,89,86,187,284,39,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,268,0,295,0
0,1,0,4,0,8,0,0,90,0,Withdrawn,155,136,19,56,35,45,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,268,0,52,0
0,1,0,5,0,3,1,0,60,1,Withdrawn,1864,1607,257,878,402,506,53,13,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,174,268,0,216,0
0,1,0,3,0,8,0,0,150,0,Pass,270,270,0,3,34,183,39,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,268,0,250,0
0,1,1,3,0,0,1,0,420,0,Pass,1529,1436,93,107,335,824,161,70,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,268,0,335,0
0,1,0,1,0,2,1,0,60,0,Pass,4003,3709,294,834,1009,2007,76,5,30,0,40,2,0,0,0,0,0,0,0,0,0,0,0,54,268,0,399,0
0,1,0,0,0,7,0,0,60,0,Withdrawn,908,658,250,210,179,374,85,38,19,0,1,2,0,0,0,0,0,0,0,0,0,0,0,64,268,0,160,0
0,1,0,9,0,9,0,0,60,0,Pass,1405,1341,64,30,287,880,115,76,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,52,268,0,353,0
0,1,1,1,0,4,1,0,60,0,Withdrawn,1185,1045,140,161,256,646,75,40,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,46,268,0,133,0
0,1,1,6,0,7,0,0,60,0,Pass,466,460,6,53,120,154,84,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,268,0,359,0
0,1,0,12,0,4,1,0,60,0,Pass,1510,1374,136,282,426,583,125,84,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117,268,0,347,0
0,1,0,11,0,1,1,0,60,0,Pass,745,745,0,274,134,267,38,17,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,32,268,0,332,0
0,1,1,2,1,2,1,0,60,0,Pass,1939,1890,49,253,317,1012,200,133,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,268,0,348,0
0,1,0,2,0,2,1,0,60,0,Pass,1782,1646,136,287,451,841,142,25,29,1,6,0,0,0,0,0,0,0,0,0,0,0,0,45,268,0,307,0
0,1,1,0,1,9,2,0,60,0,Pass,6318,5980,338,2988,1304,1536,282,181,19,0,5,3,0,0,0,0,0,0,0,0,0,0,0,162,268,0,402,0
0,1,1,4,1,2,1,0,60,0,Pass,4447,3961,486,2097,901,1051,195,125,72,0,6,0,0,0,0,0,0,0,0,0,0,0,0,195,268,0,412,0
0,1,1,5,1,7,1,0,60,0,Pass,2016,1732,284,258,358,1189,162,28,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,92,268,0,391,0
0,1,0,5,0,8,0,0,180,0,Fail,138,136,2,13,36,65,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,268,0,188,0
0,1,1,9,0,3,0,0,120,0,Pass,2012,1899,113,767,355,679,136,54,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,64,268,0,267,0
0,1,0,9,0,8,1,0,120,0,Withdrawn,487,393,94,151,53,243,27,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,268,0,76,0
0,1,0,9,0,6,0,0,60,0,Pass,1975,1719,256,271,393,1027,171,93,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,128,268,0,270,0
0,1,1,3,0,1,0,0,180,0,Pass,964,957,7,291,176,396,57,6,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,268,0,245,0
0,1,1,9,1,8,1,0,170,0,Pass,1312,1214,98,129,296,802,45,7,13,1,18,1,0,0,0,0,0,0,0,0,0,0,0,74,268,0,299,0
0,1,1,3,1,1,0,0,120,0,Fail,427,322,105,39,75,250,41,1,16,1,0,4,0,0,0,0,0,0,0,0,0,0,0,12,268,0,74,0
0,1,1,6,1,3,1,0,60,0,Pass,2136,1687,449,516,466,897,122,81,37,2,4,11,0,0,0,0,0,0,0,0,0,0,0,109,268,0,380,0
0,1,1,7,0,5,1,0,60,0,Distinction,8562,7793,769,3274,2143,2021,711,383,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,136,268,0,446,0
0,1,1,12,0,7,1,0,120,0,Withdrawn,1434,1354,80,330,360,538,136,62,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,57,268,0,76,0
0,1,1,6,0,9,0,0,120,0,Pass,1541,1539,2,410,386,527,123,76,8,0,10,1,0,0,0,0,0,0,0,0,0,0,0,180,268,0,397,0
0,1,0,9,0,9,0,0,60,0,Pass,3219,3071,148,299,698,1826,214,156,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,62,268,0,342,0
0,1,1,3,0,9,0,0,60,0,Withdrawn,1905,1902,3,337,304,1116,85,38,14,0,10,1,0,0,0,0,0,0,0,0,0,0,0,45,268,0,50,0
0,1,1,3,0,5,1,0,60,0,Pass,534,491,43,158,199,91,68,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,268,0,272,0
0,1,0,10,0,3,0,0,60,0,Withdrawn,1418,1222,196,547,296,504,44,11,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,73,268,0,200,0
0,1,1,9,1,8,1,0,60,0,Pass,1665,1416,249,559,337,577,84,33,59,0,12,4,0,0,0,0,0,0,0,0,0,0,0,68,268,0,361,0
0,1,1,0,0,4,0,0,90,1,Fail,333,320,13,13,81,193,30,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,268,0,170,0
0,1,0,3,0,1,1,0,60,0,Distinction,2953,2597,356,1299,668,752,103,100,21,0,10,0,0,0,0,0,0,0,0,0,0,0,0,169,268,0,418,0
0,1,1,2,1,2,0,0,180,0,Fail,1205,1065,140,269,205,577,126,20,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,172,268,0,313,0
0,1,1,3,1,6,0,0,60,0,Pass,227,219,8,27,57,69,59,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,268,0,362,0
0,1,1,1,0,5,0,0,60,0,Pass,445,445,0,86,133,152,42,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,268,0,309,0
0,1,1,11,0,2,0,0,60,0,Pass,614,549,65,75,145,315,53,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,268,0,330,0
0,1,1,1,0,5,0,0,60,0,Pass,1215,1186,29,40,372,622,112,57,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,58,268,0,390,0
0,1,1,3,0,4,0,0,240,0,Pass,1839,1676,163,436,300,1020,71,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,268,0,271,0
0,1,1,12,0,9,0,0,240,0,Withdrawn,190,138,52,6,34,129,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,268,0,65,0
0,1,1,6,1,9,0,0,60,0,Pass,732,732,0,58,94,498,59,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,268,0,390,0
0,1,1,8,1,9,2,0,60,0,Pass,1935,1779,156,343,391,965,126,80,19,3,8,0,0,0,0,0,0,0,0,0,0,0,0,151,268,0,396,0
0,1,1,3,1,8,0,0,80,0,Pass,321,309,12,18,64,213,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,268,0,379,0
0,1,1,8,0,9,0,0,120,0,Pass,427,425,2,40,87,197,83,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,268,0,292,0
0,1,1,0,1,9,1,0,60,0,Pass,1892,1604,288,198,358,1166,109,40,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,50,268,0,394,0
0,1,0,1,1,6,1,0,60,0,Fail,1829,1739,90,195,484,945,124,55,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,268,0,293,0
0,1,1,3,1,2,1,0,60,0,Pass,658,606,52,44,119,388,67,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,268,0,387,0
0,1,1,9,0,9,1,0,60,0,Pass,1174,1062,112,163,208,595,148,39,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,16,268,0,278,0
0,1,1,5,0,2,0,0,90,0,Pass,1969,1718,251,449,836,556,85,25,10,0,5,3,0,0,0,0,0,0,0,0,0,0,0,198,268,0,392,0
0,1,1,10,0,2,1,0,60,0,Pass,2580,2221,359,564,603,1033,234,136,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,103,268,0,357,0
0,1,1,5,1,1,0,0,120,0,Pass,1481,1356,125,106,475,694,138,14,45,0,9,0,0,0,0,0,0,0,0,0,0,0,0,117,268,0,384,0
0,1,0,11,0,3,0,0,60,0,Pass,844,793,51,68,135,425,112,48,53,2,0,1,0,0,0,0,0,0,0,0,0,0,0,68,268,0,294,0
0,1,0,0,0,7,1,0,60,0,Pass,4963,4783,180,1528,1220,1818,162,0,232,0,3,0,0,0,0,0,0,0,0,0,0,0,0,172,268,0,324,0
0,1,0,3,0,8,1,0,60,0,Withdrawn,426,395,31,50,139,217,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,268,0,190,0
0,1,1,1,0,2,1,0,60,0,Pass,1066,1019,47,240,199,472,113,30,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,145,268,0,355,0
0,1,0,5,0,3,1,0,60,0,Pass,2407,2142,265,555,596,870,250,115,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,268,0,383,0
0,1,1,0,0,1,1,0,90,0,Fail,3210,3165,45,1287,585,1083,143,90,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,268,0,373,0
0,1,1,0,0,3,0,0,180,0,Withdrawn,188,187,1,7,38,123,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,268,0,86,0
0,1,1,6,0,8,1,0,60,0,Pass,3348,3059,289,118,674,1897,344,273,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,68,268,0,382,0
0,1,0,7,0,6,0,0,60,0,Withdrawn,2016,1879,137,445,389,1026,138,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,108,268,0,203,0
0,1,1,3,0,4,0,0,60,0,Distinction,1183,1028,155,114,197,770,86,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,268,0,396,0
0,1,0,6,0,3,0,0,150,0,Pass,492,480,12,36,88,315,39,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,268,0,367,0
0,1,1,10,0,7,1,0,60,0,Fail,130,79,51,25,31,43,23,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64,268,0,277,0
0,1,1,5,1,3,0,0,60,0,Fail,59,34,25,21,16,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,268,0,0,0
0,1,1,9,0,3,1,0,60,0,Pass,1961,1742,219,265,331,1129,170,39,18,1,8,0,0,0,0,0,0,0,0,0,0,0,0,107,268,0,303,0
0,1,1,7,0,9,1,0,60,0,Pass,1046,1021,25,99,130,721,64,16,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,268,0,355,0
0,1,1,0,0,9,0,0,120,0,Pass,483,432,51,17,101,343,18,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,268,0,339,0
0,1,1,10,0,2,0,0,60,0,Pass,1740,1732,8,64,356,962,235,102,12,0,8,1,0,0,0,0,0,0,0,0,0,0,0,96,268,0,352,0
0,1,1,5,0,3,0,0,60,0,Pass,652,651,1,68,93,132,54,11,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,268,0,375,0
0,1,1,7,0,9,1,0,60,0,Distinction,5231,4841,390,2362,885,1510,275,145,27,12,14,1,0,0,0,0,0,0,0,0,0,0,0,132,268,0,418,0
0,1,0,7,0,9,1,0,180,0,Withdrawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,268,0,0,0
0,1,1,1,0,7,0,0,120,0,Pass,187,182,5,43,59,33,38,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,268,0,187,0
0,1,1,7,1,9,2,0,60,0,Pass,1775,1618,157,258,443,983,52,3,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,80,268,0,391,0
0,1,1,7,0,9,0,0,60,0,Pass,865,865,0,5,214,551,54,35,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,145,268,0,264,0
0,1,1,7,0,4,1,0,240,0,Fail,709,707,2,109,217,257,87,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,268,0,251,0
0,1,1,8,1,9,2,0,60,0,Distinction,2152,1898,254,322,363,1387,30,5,27,1,14,3,0,0,0,0,0,0,0,0,0,0,0,115,268,0,434,0
0,1,0,7,1,8,0,0,60,0,Pass,514,455,59,30,127,244,62,18,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,268,0,404,0
0,1,1,11,0,3,1,0,60,0,Pass,1997,1685,312,772,382,573,200,59,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,268,0,394,0
0,1,0,0,0,4,0,0,60,0,Fail,513,479,34,100,101,216,70,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,83,268,0,176,0
0,1,1,5,0,7,0,0,60,0,Fail,146,137,9,37,40,53,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,268,0,64,0
0,1,1,11,0,7,0,0,120,1,Pass,1277,1082,195,24,234,957,40,4,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,66,268,0,390,0
0,1,0,10,0,8,0,0,120,0,Withdrawn,68,0,68,14,22,24,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,268,0,0,0
0,1,1,11,0,5,1,0,120,0,Pass,987,987,0,14,267,527,118,49,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,268,0,291,0
0,1,1,0,0,9,1,0,60,0,Pass,1220,1066,154,163,253,744,31,4,14,1,9,1,0,0,0,0,0,0,0,0,0,0,0,58,268,0,410,0
0,1,0,3,0,1,0,0,60,0,Pass,2742,2389,353,1579,749,304,75,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,268,0,313,0
0,1,0,1,1,1,0,0,60,0,Pass,1081,993,88,157,223,474,119,82,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,268,0,406,0
0,1,1,11,0,7,0,0,60,0,Pass,1476,1425,51,235,337,765,110,20,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107,268,0,240,0
0,1,1,9,0,6,2,0,120,0,Pass,2230,2050,180,142,434,1305,212,104,22,0,11,0,0,0,0,0,0,0,0,0,0,0,0,121,268,0,296,0
0,1,1,8,1,9,2,0,60,0,Distinction,12882,12213,669,5774,4747,1911,244,141,50,0,12,3,0,0,0,0,0,0,0,0,0,0,0,79,268,0,439,0
0,1,1,8,0,9,0,0,60,0,Pass,281,231,50,51,146,33,33,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,268,0,309,0
0,1,0,0,1,8,0,0,120,0,Pass,1281,1082,199,179,485,485,95,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,268,0,333,0
0,1,0,1,0,5,0,0,60,0,Pass,6589,6317,272,3652,954,1417,343,113,100,1,8,1,0,0,0,0,0,0,0,0,0,0,0,47,268,0,392,0
0,1,1,8,1,9,2,0,60,0,Pass,10083,9278,805,5539,2066,1880,342,220,20,0,14,2,0,0,0,0,0,0,0,0,0,0,0,67,268,0,402,0
0,1,1,0,1,4,1,0,60,0,Pass,1901,1740,161,159,335,1090,188,100,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0,32,268,0,402,0
0,1,0,9,0,1,1,0,60,0,Pass,1961,1825,136,351,468,1087,27,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,165,268,0,288,0
0,1,1,7,0,9,0,0,120,0,Pass,133,102,31,25,56,33,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,268,0,306,0
0,1,0,8,1,9,1,0,60,0,Withdrawn,2376,1888,488,857,354,987,78,11,75,1,11,2,0,0,0,0,0,0,0,0,0,0,0,67,268,0,84,0
0,1,0,0,0,6,1,0,60,0,Pass,1655,1467,188,827,238,466,75,29,15,0,3,2,0,0,0,0,0,0,0,0,0,0,0,64,268,0,372,0
0,1,1,6,0,2,0,0,120,0,Pass,301,300,1,5,70,168,44,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,268,0,329,0
0,1,1,6,1,8,0,0,60,0,Pass,648,623,25,142,136,301,50,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,268,0,372,0
0,1,0,3,0,5,0,0,150,0,Fail,332,273,59,74,91,126,34,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,268,0,106,0
0,1,0,9,0,0,0,0,240,1,Withdrawn,303,173,130,104,97,67,21,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,268,0,36,0
0,1,0,7,0,2,0,0,60,0,Withdrawn,2286,2072,214,1124,572,430,100,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,268,0,259,0
0,1,1,0,0,9,0,0,120,0,Pass,1316,1290,26,130,275,763,111,11,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,110,268,0,341,0
0,1,1,4,0,8,0,0,60,0,Pass,333,303,30,2,72,195,49,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,268,0,249,0
0,1,1,0,0,4,0,0,180,0,Fail,201,201,0,25,71,54,42,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,268,0,321,0
